parametres,cours_eau,station_mesure,code_prelevement,date_prelevement,date_analyse,resultat_analyse,unite_mesure,qualification_resultat,,,,,,,,
Fluoxastrobine,la_Sèvre_Nantaise,SEVRE_NANTAISE_à_VERTOU,20180103144640-PC-1080,2018-02-26,2018-02-26,0.01,µg/L,Correcte,,,,,,,,
Terbumeton_désethyl,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.002,µg/L,Correcte,,,,,,,,
Acéphate,la_Sèvre_Nantaise,SEVRE_NANTAISE_à_VERTOU,20180205183839-PC-1962,2018-03-08,2018-03-08,0.1,µg/L,Correcte,,,,,,,,
Fluoxastrobine,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.01,µg/L,Correcte,,,,,,,,
Métazachlore_OXA,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.01,µg/L,Correcte,,,,,,,,
Butachlor_ESA._Na,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124752-PC-444898,2017-12-12,2017-12-12,0.005,µg/L,Correcte,,,,,,,,
Diéthofencarbe,la_Sèvre_Nantaise,SEVRE_NANTAISE_à_VERTOU,20180205183839-PC-1962,2018-03-08,2018-03-08,0.05,µg/L,Correcte,,,,,,,,
Taux_de_saturation_en_O2,le_Don,DON_à_ISSE,20190103144349-PC-449925,2017-08-29,2017-08-29,9.3,%,Correcte,,,,,,,,
Chlorprophame,la_Sèvre_Nantaise,SEVRE_NANTAISE_à_VERTOU,20180205183839-PC-1962,2018-03-08,2018-03-08,0.01,µg/L,Correcte,,,,,,,,
Tonalide,la_Sanguèze,SANGUEZE_à_LE_PALLET,20181001100353-PC-15587,2018-11-29,2018-11-30,0.02,µg/L,Correcte,,,,,,,,
Diflufenicanil,,RAU_DE_L'ENFER_À_GUEMENE-PENFAO,20190103124749-PC-444897,2017-11-23,2017-11-23,0.002,µg/L,Correcte,,,,,,,,
